match,frame_pos,track_id,system_label,judgment,note
M08,75,455,TARGET,correct,
M08,75,463,TARGET,correct,
M08,75,451,TARGET,correct,
M08,75,447,TARGET,correct,
M08,75,449,TARGET,correct,
M08,75,448,TARGET,correct,
M08,75,458,TARGET,correct,
M08,75,452,TARGET,correct,
M08,75,457,TARGET,correct,
M08,75,465,TARGET,wrong,referee hi-vis labeled target
M08,75,450,OTHER,correct,
M08,75,454,OTHER,correct,
M08,75,460,OTHER,correct,
M08,75,461,OTHER,correct,
M08,75,467,OTHER,correct,
M08,75,471,OTHER,correct,
M11,55,63,OTHER,correct,
M11,75,69,TARGET,correct,
M11,75,99,TARGET,correct,
M11,75,78,TARGET,correct,
M11,75,85,OTHER,correct,
M11,75,61,OTHER,wrong,own black kit (KLG visible) labeled opponent
M11,95,69,TARGET,correct,
M11,95,61,OTHER,wrong,own black kit labeled opponent (same track, later frame)
